FirstName;LastName;Username;UPN;OU;Group;StudentID;ProgramTrack
Tendai;Nyoni;tendai.nyoni2;tendai.nyoni2@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026032;GG-RedTeam
Simba;Banda;simba.banda2;simba.banda2@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026033;GG-GRC
Farai;Kaseke;farai.kaseke2;farai.kaseke2@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026034;GG-BlueTeam
Anesu;Moyo;anesu.moyo2;anesu.moyo2@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026035;GG-GRC
Munashe;Ncube;munashe.ncube2;munashe.ncube2@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026036;GG-RedTeam
Tafadzwa;Sibanda;tafadzwa.sibanda2;tafadzwa.sibanda2@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026037;GG-BlueTeam
Michelle;Dube;michelle.dube2;michelle.dube2@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026038;GG-RedTeam
Lynette;Chirwa;lynette.chirwa2;lynette.chirwa2@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026039;GG-GRC
Vimbai;Mpofu;vimbai.mpofu2;vimbai.mpofu2@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026040;GG-BlueTeam
Tariro;Ndlovu;tariro.ndlovu3;tariro.ndlovu3@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026041;GG-GRC
Blessing;Mlambo;blessing.mlambo3;blessing.mlambo3@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026042;GG-RedTeam
Rudo;Gumbo;rudo.gumbo3;rudo.gumbo3@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026043;GG-BlueTeam
Ashley;Maregere;ashley.maregere3;ashley.maregere3@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026044;GG-RedTeam
Tanaka;Mushonga;tanaka.mushonga3;tanaka.mushonga3@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026045;GG-GRC
Nomsa;Chikore;nomsa.chikore3;nomsa.chikore3@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026046;GG-BlueTeam
Kundai;Maphosa;kundai.maphosa3;kundai.maphosa3@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026047;GG-GRC
Nyasha;Muchengeti;nyasha.muchengeti3;nyasha.muchengeti3@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026048;GG-RedTeam
Chiedza;Madziva;chiedza.madziva3;chiedza.madziva3@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026049;GG-BlueTeam
Tatenda;Mutasa;tatenda.mutasa3;tatenda.mutasa3@corp.womenincyber.org;Cohort-2026;GG-Cohort-2026;CW2026050;GG-RedTeam
Tariro;Mlambo;tariro.mlambo;tariro.mlambo@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027001;GG-GRC
Blessing;Gumbo;blessing.gumbo;blessing.gumbo@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027002;GG-BlueTeam
Rudo;Maregere;rudo.maregere;rudo.maregere@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027003;GG-GRC
Ashley;Mushonga;ashley.mushonga;ashley.mushonga@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027004;GG-RedTeam
Tanaka;Chikore;tanaka.chikore;tanaka.chikore@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027005;GG-BlueTeam
Nomsa;Maphosa;nomsa.maphosa;nomsa.maphosa@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027006;GG-RedTeam
Kundai;Muchengeti;kundai.muchengeti;kundai.muchengeti@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027007;GG-GRC
Nyasha;Madziva;nyasha.madziva;nyasha.madziva@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027008;GG-BlueTeam
Chiedza;Mutasa;chiedza.mutasa;chiedza.mutasa@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027009;GG-GRC
Tatenda;Zhou;tatenda.zhou;tatenda.zhou@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027010;GG-RedTeam
Rutendo;Nyoni;rutendo.nyoni;rutendo.nyoni@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027011;GG-BlueTeam
Tendai;Banda;tendai.banda;tendai.banda@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027012;GG-RedTeam
Simba;Kaseke;simba.kaseke;simba.kaseke@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027013;GG-GRC
Farai;Moyo;farai.moyo;farai.moyo@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027014;GG-BlueTeam
Anesu;Ncube;anesu.ncube;anesu.ncube@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027015;GG-GRC
Munashe;Sibanda;munashe.sibanda;munashe.sibanda@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027016;GG-RedTeam
Tafadzwa;Dube;tafadzwa.dube;tafadzwa.dube@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027017;GG-BlueTeam
Michelle;Chirwa;michelle.chirwa;michelle.chirwa@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027018;GG-RedTeam
Lynette;Mpofu;lynette.mpofu;lynette.mpofu@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027019;GG-GRC
Vimbai;Ndlovu;vimbai.ndlovu;vimbai.ndlovu@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027020;GG-BlueTeam
Tariro;Mlambo;tariro.mlambo2;tariro.mlambo2@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027021;GG-GRC
Blessing;Gumbo;blessing.gumbo2;blessing.gumbo2@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027022;GG-RedTeam
Rudo;Maregere;rudo.maregere2;rudo.maregere2@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027023;GG-BlueTeam
Ashley;Mushonga;ashley.mushonga2;ashley.mushonga2@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027024;GG-RedTeam
Tanaka;Chikore;tanaka.chikore2;tanaka.chikore2@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027025;GG-GRC
Nomsa;Maphosa;nomsa.maphosa2;nomsa.maphosa2@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027026;GG-BlueTeam
Kundai;Muchengeti;kundai.muchengeti2;kundai.muchengeti2@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027027;GG-GRC
Nyasha;Madziva;nyasha.madziva2;nyasha.madziva2@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027028;GG-RedTeam
Chiedza;Mutasa;chiedza.mutasa2;chiedza.mutasa2@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027029;GG-BlueTeam
Tatenda;Zhou;tatenda.zhou2;tatenda.zhou2@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027030;GG-RedTeam
Rutendo;Nyoni;rutendo.nyoni2;rutendo.nyoni2@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027031;GG-GRC
Tendai;Banda;tendai.banda2;tendai.banda2@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027032;GG-BlueTeam
Simba;Kaseke;simba.kaseke2;simba.kaseke2@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027033;GG-GRC
Farai;Moyo;farai.moyo2;farai.moyo2@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027034;GG-RedTeam
Anesu;Ncube;anesu.ncube2;anesu.ncube2@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027035;GG-BlueTeam
Munashe;Sibanda;munashe.sibanda2;munashe.sibanda2@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027036;GG-RedTeam
Tafadzwa;Dube;tafadzwa.dube2;tafadzwa.dube2@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027037;GG-GRC
Michelle;Chirwa;michelle.chirwa2;michelle.chirwa2@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027038;GG-BlueTeam
Lynette;Mpofu;lynette.mpofu2;lynette.mpofu2@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027039;GG-GRC
Vimbai;Ndlovu;vimbai.ndlovu2;vimbai.ndlovu2@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027040;GG-RedTeam
Tariro;Mlambo;tariro.mlambo3;tariro.mlambo3@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027041;GG-BlueTeam
Blessing;Gumbo;blessing.gumbo3;blessing.gumbo3@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027042;GG-RedTeam
Rudo;Maregere;rudo.maregere3;rudo.maregere3@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027043;GG-GRC
Ashley;Mushonga;ashley.mushonga3;ashley.mushonga3@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027044;GG-BlueTeam
Tanaka;Chikore;tanaka.chikore3;tanaka.chikore3@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027045;GG-GRC
Nomsa;Maphosa;nomsa.maphosa3;nomsa.maphosa3@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027046;GG-RedTeam
Kundai;Muchengeti;kundai.muchengeti3;kundai.muchengeti3@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027047;GG-BlueTeam
Nyasha;Madziva;nyasha.madziva3;nyasha.madziva3@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027048;GG-RedTeam
Chiedza;Mutasa;chiedza.mutasa3;chiedza.mutasa3@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027049;GG-GRC
Tatenda;Zhou;tatenda.zhou3;tatenda.zhou3@corp.womenincyber.org;Cohort-2027;GG-Cohort-2027;CW2027050;GG-BlueTeam
